CallSign,ExerciseTime,Latitude,Longitude,Height
SIA989,18,2.7206,101.7731,9448.8
SIA367,18,2.5562,102.0253,9448.8
SIA803,18,2.1577,102.4266,10668.0
SIA431,18,2.9713,102.0308,9448.8
SIA941,18,2.6873,102.933,11887.2
SIA415,18,2.4802,102.7671,11887.2
SIA777,18,2.2809,103.2197,9448.8
SIA598,18,2.2017,102.574,11887.2
SIA489,18,2.564,102.284,9448.8
SIA865,18,2.5,102.2062,10668.0
SIA498,18,2.951,102.1674,11887.2
SIA992,18,3.1343,102.3823,11887.2
SIA266,18,2.4273,101.8005,9448.8
SIA524,18,2.8,102.4989,11887.2
SIA311,18,3.0918,102.1533,11887.2
SIA395,18,2.6291,102.3115,10668.0
SIA42,18,3.234,101.9323,9448.8
SIA777,19,2.2805,103.2187,9448.8
SIA311,19,3.0909,102.1529,11887.2
SIA850,19,2.345,102.2061,10668.0
SIA42,19,3.2332,101.9329,9448.8
SIA266,19,2.4267,101.8013,9448.8
SIA865,19,2.5,102.2072,10668.0
SIA803,19,2.1586,102.426,10668.0
SIA489,19,2.5644,102.283,9448.8
SIA941,19,2.6863,102.9327,11887.2
SIA367,19,2.557,102.0246,9448.8
SIA415,19,2.4791,102.7673,11887.2
SIA431,19,2.971,102.0318,9448.8
SIA912,19,2.165,103.5426,9448.8
SIA498,19,2.9507,102.1684,11887.2
SIA598,19,2.2018,102.573,11887.2
SIA395,19,2.6286,102.3124,10668.0
SIA992,19,3.1337,102.3814,11887.2
SIA524,19,2.8003,102.4999,11887.2
SIA914,19,2.154,102.2776,11887.2
SIA989,19,2.7196,101.7735,9448.8
SIA498,20,2.9504,102.1694,11887.2
SIA524,20,2.8006,102.5009,11887.2
SIA850,20,2.346,102.206,10668.0
SIA415,20,2.4781,102.7675,11887.2
SIA989,20,2.7186,101.7739,9448.8
SIA803,20,2.1595,102.4254,10668.0
SIA941,20,2.6854,102.9324,11887.2
SIA266,20,2.426,101.8022,9448.8
SIA42,20,3.2324,101.9336,9448.8
SIA777,20,2.2801,103.2178,9448.8
SIA865,20,2.5,102.2083,10668.0
SIA395,20,2.628,102.3133,10668.0
SIA311,20,3.0899,102.1524,11887.2
SIA992,20,3.1331,102.3806,11887.2
SIA912,20,2.1651,103.5416,9448.8
SIA431,20,2.9706,102.0328,9448.8
SIA489,20,2.5647,102.282,9448.8
SIA914,20,2.1546,102.2768,11887.2
SIA598,20,2.2019,102.572,11887.2
SIA367,20,2.5578,102.024,9448.8
SIA992,21,3.1325,102.3797,11887.2
SIA395,21,2.6275,102.3142,10668.0
SIA489,21,2.5651,102.281,9448.8
SIA803,21,2.1603,102.4249,10668.0
SIA42,21,3.2315,101.9343,9448.8
SIA941,21,2.6844,102.932,11887.2
SIA311,21,3.089,102.152,11887.2
SIA431,21,2.9702,102.0338,9448.8
SIA415,21,2.4771,102.7677,11887.2
SIA498,21,2.9502,102.1704,11887.2
SIA598,21,2.202,102.5709,11887.2
SIA524,21,2.8008,102.5019,11887.2
SIA914,21,2.1552,102.276,11887.2
SIA989,21,2.7176,101.7743,9448.8
SIA266,21,2.4254,101.803,9448.8
SIA912,21,2.1653,103.5405,9448.8
SIA865,21,2.5,102.2093,10668.0
SIA367,21,2.5586,102.0233,9448.8
SIA850,21,2.3471,102.206,10668.0
SIA777,21,2.2797,103.2168,9448.8
SIA42,22,3.2307,101.9349,9448.8
SIA914,22,2.1558,102.2751,11887.2
SIA415,22,2.4761,102.7679,11887.2
SIA489,22,2.5655,102.28,9448.8
SIA850,22,2.3481,102.2059,10668.0
SIA941,22,2.6834,102.9317,11887.2
SIA367,22,2.5594,102.0226,9448.8
SIA498,22,2.9499,102.1714,11887.2
SIA431,22,2.9698,102.0348,9448.8
SIA598,22,2.2021,102.5699,11887.2
SIA992,22,3.1319,102.3789,11887.2
SIA912,22,2.1654,103.5395,9448.8
SIA266,22,2.4247,101.8038,9448.8
SIA311,22,3.0881,102.1516,11887.2
SIA865,22,2.5,102.2103,10668.0
SIA395,22,2.627,102.3151,10668.0
SIA524,22,2.8011,102.5029,11887.2
SIA989,22,2.7166,101.7747,9448.8
SIA803,22,2.1612,102.4243,10668.0
SIA777,22,2.2793,103.2158,9448.8
SIA431,23,2.9694,102.0358,9448.8
SIA941,23,2.6824,102.9314,11887.2
SIA989,23,2.7157,101.7751,9448.8
SIA498,23,2.9496,102.1724,11887.2
